#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Name_KOR
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE,피카츄
26,Raichu,Electric,,485,60,90,55,90,80,110,1,FALSE,라이츄
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE,모래두지
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,FALSE,고지
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,FALSE,니드런♀
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,FALSE,니드리나
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE,니드퀸
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,FALSE,니드런♂
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,FALSE,니드리노
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE,니드킹
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,FALSE,삐삐
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,FALSE,픽시
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,FALSE,식스테일
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,FALSE,나인테일
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE,푸린
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE,푸크린
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE,주뱃
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE,골뱃
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE,뚜벅쵸
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE,냄새꼬
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE,라플레시아
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE,파라스
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE,파라섹트
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE,콘팡
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE,도나리
50,Diglett,Ground,,265,10,55,25,35,45,95,1,FALSE,디그다
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,FALSE,닥트리오
52,Meowth,Normal,,290,40,45,35,40,40,90,1,FALSE,나옹
53,Persian,Normal,,440,65,70,60,65,65,115,1,FALSE,페르시온
54,Psyduck,Water,,320,50,52,48,65,50,55,1,FALSE,고라파덕
55,Golduck,Water,,500,80,82,78,95,80,85,1,FALSE,골덕
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,FALSE,망키
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,FALSE,성원숭
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,FALSE,가디
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE,윈디
60,Poliwag,Water,,300,40,50,40,40,40,90,1,FALSE,발챙이
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,FALSE,슈륙챙이
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE,강챙이
63,Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE,캐이시
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,FALSE,윤겔라
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE,후딘
65,Machop,Fighting,,305,70,80,50,35,35,35,1,FALSE,알통몬
66,Machoke,Fighting,,405,80,100,70,50,60,45,1,FALSE,근육몬
67,Machamp,Fighting,,505,90,130,80,65,85,55,1,FALSE,괴력몬
68,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE,모다피
69,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE,우츠동
70,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE,우츠보트
71,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE,왕눈해
72,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE,독파리
73,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE,꼬마돌
74,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,FALSE,데구리
75,Golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE,딱구리
76,Ponyta,Fire,,410,50,85,55,65,65,90,1,FALSE,포니타
77,Rapidash,Fire,,500,65,100,70,80,80,105,1,FALSE,날쌩마
78,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE,야돈
79,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE,야도란
80,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE,코일
81,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE,레어코일
82,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE,파오리
83,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE,두두
84,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE,두트리오
85,Seel,Water,,325,65,45,55,45,70,45,1,FALSE,쥬쥬
86,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE,쥬레곤
87,Grimer,Poison,,325,80,80,50,40,50,25,1,FALSE,질퍽이
88,Muk,Poison,,500,105,105,75,65,100,50,1,FALSE,질뻐기
89,Shellder,Water,,305,30,65,100,45,25,40,1,FALSE,셀러
90,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE,파르셀
91,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE,고오스
92,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,FALSE,고우스트
93,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE,팬텀
94,Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE,롱스톤
94,Drowzee,Psychic,,328,60,48,45,43,90,42,1,FALSE,슬리프
95,Hypno,Psychic,,483,85,73,70,73,115,67,1,FALSE,슬리퍼
96,Krabby,Water,,325,30,105,90,25,25,50,1,FALSE,크랩
97,Kingler,Water,,475,55,130,115,50,50,75,1,FALSE,킹크랩
98,Voltorb,Electric,,330,40,30,50,55,55,100,1,FALSE,찌리리공
99,Electrode,Electric,,480,60,50,70,80,80,140,1,FALSE,붐볼
100,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE,아라리
101,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE,나시
102,Cubone,Ground,,320,50,50,95,40,50,35,1,FALSE,탕구리
103,Marowak,Ground,,425,60,80,110,50,80,45,1,FALSE,텅구리
104,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,FALSE,시라소몬
105,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,FALSE,홍수몬
106,Lickitung,Normal,,385,90,55,75,60,75,30,1,FALSE,내루미
107,Koffing,Poison,,340,40,65,95,60,45,35,1,FALSE,또가스
108,Weezing,Poison,,490,65,90,120,85,70,60,1,FALSE,또도가스
109,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE,뿔카노
110,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE,코뿌리
111,Chansey,Normal,,450,250,5,5,35,105,50,1,FALSE,럭키
112,Tangela,Grass,,435,65,55,115,100,40,60,1,FALSE,덩쿠리
113,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,FALSE,캥카
114,Horsea,Water,,295,30,40,70,70,25,60,1,FALSE,쏘드라
115,Seadra,Water,,440,55,65,95,95,45,85,1,FALSE,시드라
116,Goldeen,Water,,320,45,67,60,35,50,63,1,FALSE,콘치
117,Seaking,Water,,450,80,92,65,65,80,68,1,FALSE,왕콘치
118,Staryu,Water,,340,30,45,55,70,55,85,1,FALSE,별가사리
119,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE,아쿠스타
120,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE,마임맨
121,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE,스라크
122,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE,루주라
123,Electabuzz,Electric,,490,65,83,57,95,85,105,1,FALSE,에레브
124,Magmar,Fire,,495,65,95,57,100,85,93,1,FALSE,마그마
125,Pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE,쁘사이저
127,Tauros,Normal,,490,75,100,95,40,70,110,1,FALSE,켄타로스
127,Magikarp,Water,,200,20,10,55,15,20,80,1,FALSE,잉어킹
128,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE,갸라도스
129,Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE,라프라스
130,Ditto,Normal,,288,48,48,48,48,48,48,1,FALSE,메타몽
130,Eevee,Normal,,325,55,55,50,45,65,55,1,FALSE,이브이
131,Vaporeon,Water,,525,130,65,60,110,95,65,1,FALSE,샤미드
132,Jolteon,Electric,,525,65,65,60,110,95,130,1,FALSE,쥬피썬더
133,Flareon,Fire,,525,65,130,60,95,110,65,1,FALSE,부스터
134,Porygon,Normal,,395,65,60,70,85,75,40,1,FALSE,폴리곤
135,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE,암나이트
136,Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE,암스타
137,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE,투구
138,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE,투구푸스
139,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE,프테라
141,Snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE,잠만보
142,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE,프리져
142,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE,썬더
143,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE,파이어
144,Dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE,미뇽
145,Dragonair,Dragon,,420,61,84,65,70,70,70,1,FALSE,신뇽
146,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE,망나뇽
147,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE,뮤츠
148,Mew,Psychic,,600,100,100,100,100,100,100,1,TRUE,뮤
149,Chikorita,Grass,,318,45,49,65,49,65,45,2,FALSE,치코리타
150,Bayleef,Grass,,405,60,62,80,63,80,60,2,FALSE,베이리프
151,Meganium,Grass,,525,80,82,100,83,100,80,2,FALSE,메가니움
152,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,FALSE,브케인
153,Quilava,Fire,,405,58,64,58,80,65,80,2,FALSE,마그케인
154,Typhlosion,Fire,,534,78,84,78,109,85,100,2,FALSE,블레이범
155,Totodile,Water,,314,50,65,64,44,48,43,2,FALSE,리아코
156,Croconaw,Water,,405,65,80,80,59,63,58,2,FALSE,엘리게이
157,Feraligatr,Water,,530,85,105,100,79,83,78,2,FALSE,장크로다일
158,Sentret,Normal,,215,35,46,34,35,45,20,2,FALSE,꼬리선
159,Furret,Normal,,415,85,76,64,45,55,90,2,FALSE,다꼬리
160,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,FALSE,부우부
161,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE,야부엉
162,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,FALSE,레디바
163,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,FALSE,레디안
164,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE,페이검
165,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE,아리아도스
166,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE,크로뱃
167,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE,초라기
168,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE,랜턴
169,Pichu,Electric,,205,20,40,15,35,35,60,2,FALSE,피츄
170,Cleffa,Fairy,,218,50,25,28,45,55,15,2,FALSE,삐
171,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,FALSE,푸푸린
172,Togepi,Fairy,,245,35,20,65,40,65,20,2,FALSE,토게피
173,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE,토게틱
174,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE,네이티
175,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE,네이티오
176,Mareep,Electric,,280,55,40,40,65,45,35,2,FALSE,메리프
177,Flaaffy,Electric,,365,70,55,55,80,60,45,2,FALSE,보송송
178,Ampharos,Electric,,510,90,75,85,115,90,55,2,FALSE,전룡
180,Bellossom,Grass,,490,75,80,95,90,100,50,2,FALSE,아르코
181,Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE,마릴
181,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE,마릴리
182,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,FALSE,꼬지모
183,Politoed,Water,,500,90,75,75,90,100,70,2,FALSE,왕구리
184,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,FALSE,통통코
185,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE,두코
186,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,FALSE,솜솜코
187,Aipom,Normal,,360,55,70,55,40,55,85,2,FALSE,에이팜
188,Sunkern,Grass,,180,30,30,30,30,30,30,2,FALSE,해너츠
189,Sunflora,Grass,,425,75,75,55,105,85,30,2,FALSE,해루미
190,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,FALSE,왕자리
191,Wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE,우파
192,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE,누오
193,Espeon,Psychic,,525,65,65,60,130,95,110,2,FALSE,에브이
194,Umbreon,Dark,,525,95,65,110,60,130,65,2,FALSE,블래키
195,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,FALSE,니로우
196,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE,야도킹
197,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,FALSE,무우마
198,Unown,Psychic,,336,48,72,48,72,48,48,2,FALSE,안농
199,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,FALSE,마자용
200,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE,키링키
201,Pineco,Bug,,290,50,65,90,35,35,15,2,FALSE,피콘
202,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,FALSE,쏘콘
203,Dunsparce,Normal,,415,100,70,70,65,65,45,2,FALSE,노고치
204,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,FALSE,글라이거
205,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,FALSE,강철톤
206,Snubbull,Fairy,,300,60,80,50,40,40,30,2,FALSE,블루
207,Granbull,Fairy,,450,90,120,75,60,60,45,2,FALSE,그랑블루
208,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE,침바루
209,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE,핫삼
211,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,FALSE,단단지
212,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,FALSE,헤라크로스
213,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,FALSE,포푸니
214,Teddiursa,Normal,,330,60,80,50,50,50,40,2,FALSE,깜지곰
214,Ursaring,Normal,,500,90,130,75,75,75,55,2,FALSE,링곰
215,Slugma,Fire,,250,40,40,40,70,40,20,2,FALSE,마그마그
216,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE,마그카르고
217,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,FALSE,꾸꾸리
218,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE,메꾸리
219,Corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE,코산호
220,Remoraid,Water,,300,35,65,35,65,35,65,2,FALSE,총어
221,Octillery,Water,,480,75,105,75,105,75,45,2,FALSE,대포무노
222,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,FALSE,딜리버드
223,Mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE,만타인
224,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,FALSE,무장조
225,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,FALSE,델빌
226,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,FALSE,헬가
228,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,FALSE,킹드라
229,Phanpy,Ground,,330,90,60,60,40,40,40,2,FALSE,코코리
229,Donphan,Ground,,500,90,120,120,60,60,50,2,FALSE,코리갑
230,Porygon2,Normal,,515,85,80,90,105,95,60,2,FALSE,폴리곤2
231,Stantler,Normal,,465,73,95,62,85,65,85,2,FALSE,노라키
232,Smeargle,Normal,,250,55,20,35,20,45,75,2,FALSE,루브도
233,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,FALSE,배루키
234,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,FALSE,카포에라
235,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,FALSE,뽀뽀라
236,Elekid,Electric,,360,45,63,37,65,55,95,2,FALSE,에레키드
237,Magby,Fire,,365,45,75,37,70,55,83,2,FALSE,마그비
238,Miltank,Normal,,490,95,80,105,40,70,100,2,FALSE,밀탱크
239,Blissey,Normal,,540,255,10,10,75,135,55,2,FALSE,해피너스
240,Raikou,Electric,,580,90,85,75,115,100,115,2,TRUE,라이코
241,Entei,Fire,,580,115,115,85,90,75,100,2,TRUE,앤테이
242,Suicune,Water,,580,100,75,115,90,115,85,2,TRUE,스이쿤
243,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,FALSE,애버라스
244,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,FALSE,데기라스
245,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,FALSE,마기라스
247,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,TRUE,루기아
248,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE,칠색조
248,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,TRUE,세레비
249,Treecko,Grass,,310,40,45,35,65,55,70,3,FALSE,나무지기
250,Grovyle,Grass,,405,50,65,45,85,65,95,3,FALSE,나무돌이
251,Sceptile,Grass,,530,70,85,65,105,85,120,3,FALSE,나무킹
253,Torchic,Fire,,310,45,60,40,70,50,45,3,FALSE,아차모
254,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,TRUE,영치코
254,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,TRUE,번치코
256,Mudkip,Water,,310,50,70,50,50,50,40,3,FALSE,물짱이
257,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE,늪짱이
257,Swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE,대짱이
259,Poochyena,Dark,,220,35,55,35,30,30,35,3,FALSE,포챠나
260,Mightyena,Dark,,420,70,90,70,60,60,70,3,FALSE,그라에나
260,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,FALSE,지그제구리
261,Linoone,Normal,,420,78,70,61,50,61,100,3,FALSE,직구리
262,Wurmple,Bug,,195,45,45,35,20,30,20,3,FALSE,개무소
263,Silcoon,Bug,,205,50,35,55,25,25,15,3,FALSE,실쿤
264,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,FALSE,뷰티플라이
265,Cascoon,Bug,,205,50,35,55,25,25,15,3,FALSE,카스쿤
266,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,FALSE,독케일
267,Lotad,Water,Grass,220,40,30,30,40,50,30,3,FALSE,연꽃몬
268,Lombre,Water,Grass,340,60,50,50,60,70,50,3,FALSE,로토스
269,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,FALSE,로파파
270,Seedot,Grass,,220,40,40,50,30,30,30,3,FALSE,도토링
271,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,FALSE,잎새코
272,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,FALSE,다탱구
273,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,FALSE,테일로
274,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,FALSE,스왈로
275,Wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE,갈모매
276,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,FALSE,패리퍼
277,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,FALSE,랄토스
278,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,FALSE,킬리아
279,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,FALSE,가디안
281,Surskit,Bug,Water,269,40,30,32,50,52,65,3,FALSE,비구술
282,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,FALSE,비나방
282,Shroomish,Grass,,295,60,40,60,40,60,35,3,FALSE,버섯꼬
283,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE,버섯모
284,Slakoth,Normal,,280,60,60,60,35,35,30,3,FALSE,게을로
285,Vigoroth,Normal,,440,80,80,80,55,55,90,3,FALSE,발바로
286,Slaking,Normal,,670,150,160,100,95,65,100,3,FALSE,게을킹
287,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,FALSE,토중몬
288,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,FALSE,아이스크
289,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,FALSE,껍질몬
290,Whismur,Normal,,240,64,51,23,51,23,28,3,FALSE,소곤룡
291,Loudred,Normal,,360,84,71,43,71,43,48,3,FALSE,노공룡
292,Exploud,Normal,,490,104,91,63,91,73,68,3,FALSE,폭음룡
293,Makuhita,Fighting,,237,72,60,30,20,30,25,3,FALSE,마크탕
294,Hariyama,Fighting,,474,144,120,60,40,60,50,3,FALSE,하리뭉
295,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,FALSE,루리리
296,Nosepass,Rock,,375,30,45,135,45,90,30,3,FALSE,코코파스
297,Skitty,Normal,,260,50,45,45,35,35,50,3,FALSE,에나비
298,Delcatty,Normal,,380,70,65,65,55,55,70,3,FALSE,델케티
299,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,FALSE,깜까미
301,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,FALSE,입치트
302,Aron,Steel,Rock,330,50,70,100,40,40,30,3,FALSE,가보리
303,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,FALSE,갱도라
303,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE,보스로라
305,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,FALSE,요가랑
306,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,FALSE,요가램
307,Electrike,Electric,,295,40,45,40,65,40,65,3,FALSE,썬더라이
308,Manectric,Electric,,475,70,75,60,105,60,105,3,FALSE,썬더볼트
309,Plusle,Electric,,405,60,50,40,85,75,95,3,FALSE,플러시
310,Minun,Electric,,405,60,40,50,75,85,95,3,FALSE,마이농
310,Volbeat,Bug,,400,65,73,55,47,75,85,3,FALSE,볼비트
311,Illumise,Bug,,400,65,47,55,73,75,85,3,FALSE,네오비트
312,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,FALSE,로젤리아
313,Gulpin,Poison,,302,70,43,53,43,53,40,3,FALSE,꼴깍몬
314,Swalot,Poison,,467,100,73,83,73,83,55,3,FALSE,꿀꺽몬
315,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,FALSE,샤프니아
316,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,FALSE,샤크니아
318,Wailmer,Water,,400,130,70,35,70,35,60,3,FALSE,고래왕자
319,Wailord,Water,,500,170,90,45,90,45,60,3,FALSE,고래왕
319,Numel,Fire,Ground,305,60,60,40,65,45,35,3,FALSE,둔타
320,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,FALSE,폭타
322,Torkoal,Fire,,470,70,85,140,85,70,20,3,FALSE,코터스
323,Spoink,Psychic,,330,60,25,35,70,80,60,3,FALSE,피그점프
323,Grumpig,Psychic,,470,80,45,65,90,110,80,3,FALSE,피그킹
324,Spinda,Normal,,360,60,60,60,60,60,60,3,FALSE,얼루기
325,Trapinch,Ground,,290,45,100,45,45,45,10,3,FALSE,톱치
326,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,FALSE,비브라바
327,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,FALSE,플라이곤
328,Cacnea,Grass,,335,50,85,40,85,40,35,3,FALSE,선인왕
329,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,FALSE,밤선인
330,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,FALSE,파비코
331,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,FALSE,파비코리
332,Zangoose,Normal,,458,73,115,60,60,60,90,3,FALSE,쟝고
333,Seviper,Poison,,458,73,100,60,100,60,65,3,FALSE,세비퍼
334,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,FALSE,루나톤
334,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,FALSE,솔록
335,Barboach,Water,Ground,288,50,48,43,46,41,60,3,FALSE,미꾸리
336,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,FALSE,메깅
337,Corphish,Water,,308,43,80,65,50,35,35,3,FALSE,가재군
338,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,FALSE,가재장군
339,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,FALSE,오뚝군
340,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,FALSE,점토도리
341,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,FALSE,릴링
